address,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"250 S Colonial Dr Alabaster, AL 35007",33.224319,-86.80438,1,rooftop,250,"S Colonial Dr",,,Alabaster,AL,"Shelby County",35007,US,Shelby
"520 Highway 119 Alabaster, AL 35007",33.238904,-86.817912,1,rooftop,520,"Hwy 119",,,Alabaster,AL,"Shelby County",35007,US,Shelby
"6181 Us Hwy 431 Albertville, AL 35950",34.265897,-86.193099,1,range_interpolation,6181,"US Hwy 431",,,Albertville,AL,"Marshall County",35950,US,"TIGER/Line® dataset from the US Census Bureau"
"113 3rd St, Se Aliceville, AL 35442",33.126926,-88.148561,1,range_interpolation,113,"3rd St SE",,,Aliceville,AL,"Pickens County",35442,US,"TIGER/Line® dataset from the US Census Bureau"
"1204 Dr. Mlk Expressway Andalusia, AL 36420",31.318773,-86.459683,0.6,street_center,,"Martin Luther King Jr Expy",,,Andalusia,AL,"Covington County",36420,US,"TIGER/Line® dataset from the US Census Bureau"
"1407 Quintard Ave. Anniston, AL 36201",33.662848,-85.826002,1,rooftop,1407,"Quintard Ave",,,Anniston,AL,"Calhoun County",36201,US,Calhoun
"1404 Golden Springs Rd. Anniston, AL 36207",33.625486,-85.786154,1,range_interpolation,1404,"Golden Springs Rd",,,Anniston,AL,"Calhoun County",36207,US,"TIGER/Line® dataset from the US Census Bureau"
"1204 N. Brindlee Mountain Pkwy. Arab, AL 35016",34.338143,-86.502556,1,rooftop,1204,"Brindlee Mountain Pkwy N",,,Arab,AL,"Marshall County",35016,US,Marshall
"215 Hwy 31 South Athens, AL 35611",34.797194,-86.953006,0.9,rooftop,215,"U S Hwy 31 S",,,Athens,AL,"Limestone County",35613,US,Limestone
"315 Third Street Nw Attalla, AL 35954",34.020522,-86.089392,1,rooftop,315,"3rd St NW",,,Attalla,AL,"Etowah County",35954,US,Etowah
"333 S College St Auburn, AL 36830",32.600254,-85.481481,1,rooftop,333,"S College St",,,Auburn,AL,"Lee County",36830,US,"City of Auburn"
"1888 Ogletree Road Auburn, AL 36830",32.58396,-85.438655,1,rooftop,1888,"Ogletree Rd",,,Auburn,AL,"Lee County",36830,US,"City of Auburn"
"770 East Glenn Avenue Auburn, AL 36830",32.608277,-85.465494,1,rooftop,770,"E Glenn Ave",,,Auburn,AL,"Lee County",36830,US,"City of Auburn"
"1498 Opelika Rd Auburn, AL 36830",32.623307,-85.448867,1,rooftop,1498,"Opelika Rd",,,Auburn,AL,"Lee County",36830,US,"City of Auburn"
"208 Mcmeans Ave. Bay Minette, AL 36507",30.880371,-87.784479,1,rooftop,208,"McMeans Ave",,,"Bay Minette",AL,"Baldwin County",36507,US,Baldwin
"12900 N. Wintzell Ave. Bayou La Batre, AL 36509",30.417579,-88.244426,0.9,range_interpolation,12900,"Wintzell Ave",,,"Bayou La Batre",AL,"Mobile County",36509,US,"TIGER/Line® dataset from the US Census Bureau"
"4889 Promenade Pkwy Bessemer, AL 35022",33.33437,-86.989837,1,rooftop,4889,"Promenade Pkwy",,,Bessemer,AL,"Jefferson County",35022,US,Jefferson
"901 9th Avenue, N Bessemer, AL 35020",33.392918,-86.96407,1,rooftop,901,"5th Ave N",,,Bessemer,AL,"Jefferson County",35020,US,Jefferson
"2901 Morgan Rd. Bessemer, AL 35022",33.336451,-86.916615,1,rooftop,2901,"Morgan Rd",,,Bessemer,AL,"Jefferson County",35022,US,Jefferson
"4616 Highway 280 Birmingham, AL 35242",33.42542,-86.712376,1,rooftop,4616,"Hwy 280",,,Birmingham,AL,"Shelby County",35242,US,Shelby
"1654 Gadsden Hwy Birmingham, AL 35235",33.605735,-86.637376,1,rooftop,1654,"Gadsden Hwy",,,Birmingham,AL,"Jefferson County",35235,US,Jefferson
