amenities,address,phone,id,target,scraped
,"250 S Colonial Dr Alabaster, AL 35007",,17350,TRUE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"520 Highway 119 Alabaster, AL 35007",205-663-5405# 4867,4867,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|UPS Access Point,"6181 Us Hwy 431 Albertville, AL 35950",256-878-3502# 4910,4910,FALSE,2021-11-20
Accepts SNAP|COVID Testing|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"113 3rd St, Se Aliceville, AL 35442",205-373-8475# 4946,4946,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"1204 Dr. Mlk Expressway Andalusia, AL 36420",334-222-0518# 7077,7077,FALSE,2021-11-20
Accepts SNAP|COVID Testing|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"1407 Quintard Ave. Anniston, AL 36201",256-236-3016# 4870,4870,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"1404 Golden Springs Rd. Anniston, AL 36207",256-832-0046# 7660,7660,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"1204 N. Brindlee Mountain Pkwy. Arab, AL 35016",256-586-6021# 4941,4941,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"215 Hwy 31 South Athens, AL 35611",256-233-0514# 4815,4815,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|UPS Access Point,"315 Third Street Nw Attalla, AL 35954",256-538-9699# 4972,4972,FALSE,2021-11-20
Accepts SNAP|Photo & Passport|UPS Access Point,"333 S College St Auburn, AL 36830",334-466-8200# 10208,10208,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"1888 Ogletree Road Auburn, AL 36830",334-502-8363# 1777,1777,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"770 East Glenn Avenue Auburn, AL 36830",334-887-7043# 2402,2402,FALSE,2021-11-20
Accepts SNAP|Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"1498 Opelika Rd Auburn, AL 36830",334-887-7636# 8933,8933,FALSE,2021-11-20
Drive-Thru Pharmacy|Photo & Passport|UPS Access Point,"208 Mcmeans Ave. Bay Minette, AL 36507",251-937-3933# 4938,4938,FALSE,2021-11-20
